,reward_id,rewards,remains,current_id
0,0,300,4800,0
1,1,0,4900,
2,2,200,4800,
3,3,0,4900,
4,4,0,5000,
5,5,300,4800,
6,6,0,4900,
7,7,0,5000,
8,8,0,5100,
9,9,200,5000,
10,10,200,4900,
11,11,0,5000,
12,12,0,5100,
13,13,300,4900,
14,14,200,4800,
15,15,0,4900,
16,16,0,5000,
17,17,0,5100,
18,18,0,5200,
19,19,0,5300,
20,20,0,5400,
21,21,0,5500,
22,22,0,5600,
23,23,200,5500,
24,24,0,5600,
25,25,200,5500,
26,26,200,5400,
27,27,0,5500,
28,28,0,5600,
29,29,200,5500,
30,30,200,5400,
31,31,0,5500,
32,32,200,5400,
33,33,200,5300,
34,34,200,5200,
35,35,0,5300,
36,36,0,5400,
37,37,200,5300,
38,38,0,5400,
39,39,0,5500,
40,40,200,5400,
41,41,500,5000,
42,42,200,4900,
43,43,0,5000,
44,44,200,4900,
45,45,0,5000,
46,46,0,5100,
47,47,200,5000,
48,48,200,4900,
49,49,0,5000,
50,50,0,5100,
51,51,0,5200,
52,52,200,5100,
53,53,200,5000,
54,54,200,4900,
55,55,0,5000,
56,56,200,4900,
57,57,0,5000,
58,58,200,4900,
59,59,200,4800,
60,60,300,4600,
61,61,200,4500,
62,62,200,4400,
63,63,200,4300,
64,64,0,4400,
65,65,0,4500,
66,66,200,4400,
67,67,0,4500,
68,68,0,4600,
69,69,0,4700,
70,70,0,4800,
71,71,0,4900,
72,72,0,5000,
73,73,200,4900,
74,74,0,5000,
75,75,0,5100,
76,76,0,5200,
77,77,0,5300,
78,78,200,5200,
79,79,200,5100,
80,80,200,5000,
81,81,0,5100,
82,82,200,5000,
83,83,0,5100,
84,84,200,5000,
85,85,0,5100,
86,86,0,5200,
87,87,0,5300,
88,88,0,5400,
89,89,200,5300,
90,90,200,5200,
91,91,200,5100,
92,92,0,5200,
93,93,0,5300,
94,94,0,5400,
95,95,0,5500,
96,96,200,5400,
97,97,200,5300,
98,98,0,5400,
99,99,0,5500,
100,100,0,5600,
101,101,200,5500,
102,102,200,5400,
103,103,0,5500,
104,104,200,5400,
105,105,200,5300,
106,106,0,5400,
107,107,200,5300,
108,108,0,5400,
109,109,0,5500,
110,110,0,5600,
111,111,0,5700,
112,112,0,5800,
113,113,200,5700,
114,114,200,5600,
115,115,500,5200,
116,116,0,5300,
117,117,200,5200,
118,118,0,5300,
119,119,0,5400,
120,120,0,5500,
121,121,0,5600,
122,122,200,5500,
123,123,0,5600,
124,124,1000,4700,
125,125,0,4800,
126,126,0,4900,
127,127,0,5000,
128,128,0,5100,
129,129,0,5200,
130,130,200,5100,
131,131,0,5200,
132,132,0,5300,
133,133,0,5400,
134,134,200,5300,
135,135,200,5200,
136,136,0,5300,
137,137,0,5400,
138,138,200,5300,
139,139,0,5400,
140,140,0,5500,
141,141,0,5600,
142,142,200,5500,
143,143,200,5400,
144,144,0,5500,
145,145,200,5400,
146,146,0,5500,
147,147,200,5400,
148,148,0,5500,
149,149,200,5400,
150,150,200,5300,
151,151,200,5200,
152,152,0,5300,
153,153,0,5400,
154,154,200,5300,
155,155,0,5400,
156,156,0,5500,
157,157,200,5400,
158,158,0,5500,
159,159,0,5600,
160,160,200,5500,
161,161,0,5600,
162,162,0,5700,
163,163,200,5600,
164,164,200,5500,
165,165,0,5600,
166,166,0,5700,
167,167,0,5800,
168,168,0,5900,
169,169,0,6000,
170,170,200,5900,
171,171,200,5800,
172,172,0,5900,
173,173,0,6000,
174,174,200,5900,
175,175,200,5800,
176,176,0,5900,
177,177,200,5800,
178,178,200,5700,
179,179,0,5800,
180,180,0,5900,
181,181,300,5700,
182,182,0,5800,
183,183,200,5700,
184,184,200,5600,
185,185,200,5500,
186,186,0,5600,
187,187,200,5500,
188,188,0,5600,
189,189,0,5700,
190,190,200,5600,
191,191,0,5700,
192,192,0,5800,
193,193,0,5900,
194,194,0,6000,
195,195,0,6100,
196,196,0,6200,
197,197,0,6300,
198,198,0,6400,
199,199,200,6300,
200,200,0,6400,
201,201,200,6300,
